LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
1920129100,1960097300,1920042300,0,2.0,101,울산포항고속도로,0,0,100.0,0.0,0.0,0.0,,bokdosa,5,51110,192,3,65,TEMP20151217000079,bokdosa20151231141247,TEMP20151217000033,TEMP20151217000034,274.86786941
1920129700,1920042300,1960097300,0,2.0,101,울산포항고속도로,0,0,100.0,0.0,0.0,0.0,,bokdosa,5,51110,192,3,65,TEMP20151217000078,bokdosa20151231141247,TEMP20151217000034,TEMP20151217000033,275.523284496
1960036900,1960018100,1960019000,0,1.0,107,-,0,0,40.0,0.0,0.0,0.0,,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010309,,,547.945080198
1960036600,1960018400,1960018100,0,1.0,107,-,0,0,40.0,0.0,0.0,0.0,,nodelinkmanager,5,50000,192,3,-,,nodelinkmanager2017010309,,,54.095820605
1920025100,1920009000,1920008700,0,2.0,104,구교로,0,0,60.0,0.0,0.0,0.0,보완,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,337.894907528
1920023900,1920008700,1920008300,0,2.0,104,구교로,0,0,60.0,0.0,0.0,0.0,보완,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,152.752443211
1920024000,1920008300,1920008700,0,2.0,104,구교로,0,0,60.0,0.0,0.0,0.0,보완,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,152.447673957
1920025200,1920008700,1920009000,0,2.0,104,구교로,0,0,60.0,0.0,0.0,0.0,보완,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,339.78653488099997
1920012700,1920004300,1920004800,0,2.0,104,-,0,0,40.0,0.0,0.0,0.0,신규,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,56.3384151088
1920013700,1920004800,1920004600,0,1.0,104,-,0,0,40.0,0.0,0.0,0.0,신규,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,187.21679566
1920014500,1920004800,1920005500,0,2.0,104,-,0,0,40.0,0.0,0.0,0.0,신규,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,49.6044809093
1920037600,1920012600,1920013300,0,1.0,104,외손큰길,0,0,40.0,0.0,0.0,0.0,신규,nodelinkmanager,5,50000,192,0,-,,nodelinkmanager2017010411,,,261.650314354
1920035700,1920012000,1920013300,0,2.0,104,동천지하차도,0,0,60.0,0.0,0.0,0.0,신규,nodelinkmanager,5,50000,192,2,-,,nodelinkmanager2017010411,,,386.79063567699995
1920035800,1920013300,1920012000,0,2.0,104,동천지하차도,0,0,60.0,0.0,0.0,0.0,신규,nodelinkmanager,5,50000,192,2,-,,nodelinkmanager2017010411,,,368.408753369
